SI#	GENE	GDS	ORGANISM	SAMPLE
8173	BEX2	GDS5409	Homo sapiens	8
8174	CD36	GDS5409	Homo sapiens	8
8175	TINAGL1	GDS5409	Homo sapiens	8
8176	SOX18	GDS5409	Homo sapiens	8
8177	FCRLB	GDS2506	Homo sapiens	51
8178	NIPAL4	GDS5409	Homo sapiens	8
8179	CITED2	GDS5409	Homo sapiens	8
8180	CMTM3	GDS5409	Homo sapiens	8
8181	TPBG	GDS5409	Homo sapiens	8
8182	AGR2	GDS5409	Homo sapiens	8
8183	PRPSAP2	GDS5409	Homo sapiens	8
8184	USP24	GDS5409	Homo sapiens	8
8185	NAPB	GDS5409	Homo sapiens	8
8186	ZNF252P	GDS5409	Homo sapiens	8
8187	IL20RB	GDS5409	Homo sapiens	8
8188	C11orf54	GDS5409	Homo sapiens	8
8189	IFRD1	GDS5409	Homo sapiens	8
8190	GJB4	GDS5409	Homo sapiens	8
8191	IER3IP1	GDS5409	Homo sapiens	8
8192	PTGER1	GDS2506	Homo sapiens	51
8193	TCP1	GDS5409	Homo sapiens	8
8194	MAFF	GDS5409	Homo sapiens	8
8195	NDFIP1	GDS2506	Homo sapiens	51
8196	SERTAD4-AS1	GDS5409	Homo sapiens	8
8197	HTRA3	GDS2506	Homo sapiens	51
8198	RCVRN	GDS2506	Homo sapiens	51
8199	PRRC1	GDS5409	Homo sapiens	8
8200	MMP9	GDS5409	Homo sapiens	8
8201	SIRT1	GDS5409	Homo sapiens	8
8202	DLL1	GDS2506	Homo sapiens	51
8203	RAB22A	GDS2506	Homo sapiens	51
8204	PDE6D	GDS5409	Homo sapiens	8
8205	CYP4F3	GDS5409	Homo sapiens	8
8206	USP37	GDS2506	Homo sapiens	51
8207	CGB5	GDS5409	Homo sapiens	8
8208	UNK	GDS2506	Homo sapiens	51
8209	FASTKD5	GDS2506	Homo sapiens	51
8210	RPS6KB1	GDS2506	Homo sapiens	51
8211	TUBD1	GDS2506	Homo sapiens	51
8212	HNF1A	GDS2506	Homo sapiens	51
8213	HP09025	GDS2506	Homo sapiens	51
8214	ZNF750	GDS5409	Homo sapiens	8
8215	GAB2	GDS2506	Homo sapiens	51
8216	SLC25A6	GDS2506	Homo sapiens	51
8217	FZD4	GDS2506	Homo sapiens	51
8218	CDH24	GDS2506	Homo sapiens	51
8219	ZKSCAN1	GDS2506	Homo sapiens	51
8220	SERPINB10	GDS2506	Homo sapiens	51
8221	ZNF174	GDS2506	Homo sapiens	51
8222	HEATR5B	GDS2506	Homo sapiens	51
8223	FGFBP1	GDS2506	Homo sapiens	51
8224	ADCK1	GDS2506	Homo sapiens	51
8225	ACYP2	GDS2506	Homo sapiens	51
8226	ICE1	GDS2506	Homo sapiens	51
8227	ASB9	GDS2506	Homo sapiens	51
8228	HKR1	GDS2506	Homo sapiens	51
8229	MAGI3	GDS2506	Homo sapiens	51
8230	ERBB4	GDS2506	Homo sapiens	51
8231	FBXO18	GDS2506	Homo sapiens	51
8232	ZBED3	GDS2506	Homo sapiens	51
8233	ARHGAP32	GDS2506	Homo sapiens	51
8234	RITA1	GDS2506	Homo sapiens	51
8235	SLC1A2	GDS2506	Homo sapiens	51
8236	None	GDS2506	Homo sapiens	51
8237	TPM1	GDS2506	Homo sapiens	51
8238	ZNF91	GDS2506	Homo sapiens	51
8239	REN	GDS2506	Homo sapiens	51
8240	SERPINB11	GDS2506	Homo sapiens	51
8241	XRCC5	GDS2506	Homo sapiens	51
8242	NAA16	GDS2506	Homo sapiens	51
8243	CBLB	GDS2506	Homo sapiens	51
8244	ITIH4	GDS2506	Homo sapiens	51
8245	WDR62	GDS2506	Homo sapiens	51
8246	ACAP1	GDS2506	Homo sapiens	51
8247	SRPK2	GDS2506	Homo sapiens	51
8248	BLM	GDS2506	Homo sapiens	51
8249	FDPS	GDS5409	Homo sapiens	8
8250	TRIB3	GDS5409	Homo sapiens	8
8251	CYFIP2	GDS5409	Homo sapiens	8
8252	FOXA2	GDS5409	Homo sapiens	8
8253	CHRNA5	GDS5409	Homo sapiens	8
8254	F3	GDS5409	Homo sapiens	8
8255	KLHDC8B	GDS5409	Homo sapiens	8
8256	SLC25A23	GDS5409	Homo sapiens	8
8257	SC5D	GDS5409	Homo sapiens	8
8258	NEU1	GDS5409	Homo sapiens	8
8259	SIDT2	GDS5409	Homo sapiens	8
8260	CDK19	GDS5409	Homo sapiens	8
8261	ELOVL6	GDS5409	Homo sapiens	8
8262	ITPRIPL2	GDS5409	Homo sapiens	8
8263	RPL28	GDS5409	Homo sapiens	8
8264	CDCA7	GDS5409	Homo sapiens	8
8265	GPD1L	GDS5409	Homo sapiens	8
8266	JADE2	GDS5409	Homo sapiens	8
8267	RPS6KB1	GDS5409	Homo sapiens	8
8268	SEL1L3	GDS5409	Homo sapiens	8
8269	LPL	GDS5409	Homo sapiens	8
8270	RBL2	GDS5409	Homo sapiens	8
8271	RABGGTB	GDS5409	Homo sapiens	8
8272	BRPF3	GDS5409	Homo sapiens	8
8273	CCNB1IP1	GDS5409	Homo sapiens	8
8274	TAF1	GDS2506	Homo sapiens	51
8275	ANGPTL3	GDS2506	Homo sapiens	51
8276	MEGF8	GDS2506	Homo sapiens	51
8277	NDUFB5	GDS2506	Homo sapiens	51
8278	DDAH1	GDS2506	Homo sapiens	51
8279	KCTD4	GDS2506	Homo sapiens	51
8280	INSIG2	GDS2506	Homo sapiens	51
8281	SFSWAP	GDS2506	Homo sapiens	51
8282	IQCG	GDS2506	Homo sapiens	51
8283	SUPT5H	GDS2506	Homo sapiens	51
8284	INO80D	GDS2506	Homo sapiens	51
8285	C1orf145	GDS2506	Homo sapiens	51
8286	KRT19	GDS2506	Homo sapiens	51
8287	EPB41L1	GDS2506	Homo sapiens	51
8288	TTC30A	GDS2506	Homo sapiens	51
8289	HNF4G	GDS2506	Homo sapiens	51
8290	KRT9	GDS2506	Homo sapiens	51
8291	KIF20A	GDS2506	Homo sapiens	51
8292	POP7	GDS2506	Homo sapiens	51
8293	TTK	GDS2506	Homo sapiens	51
8294	MTR	GDS2506	Homo sapiens	51
8295	ADD1	GDS2506	Homo sapiens	51
8296	BTNL3	GDS2506	Homo sapiens	51
8297	PEMT	GDS2506	Homo sapiens	51
8298	TAS2R7	GDS2506	Homo sapiens	51
8299	GBA	GDS2506	Homo sapiens	51
8300	RPS9	GDS2506	Homo sapiens	51
8301	ODF2	GDS2506	Homo sapiens	51
8302	MAGEB1	GDS2506	Homo sapiens	51
8303	CNN3	GDS2506	Homo sapiens	51
8304	SPRR1A	GDS2506	Homo sapiens	51
8305	ENAH	GDS2506	Homo sapiens	51
8306	XK	GDS2506	Homo sapiens	51
8307	CCND3	GDS2506	Homo sapiens	51
8308	RGS14	GDS2506	Homo sapiens	51
8309	LOC105371374	GDS2506	Homo sapiens	51
8310	LDHA	GDS2506	Homo sapiens	51
8311	None	GDS2506	Homo sapiens	51
8312	PLEKHM1	GDS2506	Homo sapiens	51
8313	None	GDS2506	Homo sapiens	51
8314	ERI1	GDS2506	Homo sapiens	51
8315	TNNI2	GDS2506	Homo sapiens	51
8316	GYPB	GDS2506	Homo sapiens	51
8317	SLC35C1	GDS2506	Homo sapiens	51
8318	FKBP2	GDS2506	Homo sapiens	51
8319	EXPH5	GDS2506	Homo sapiens	51
8320	NAPA-AS1	GDS2506	Homo sapiens	51
8321	JAG1	GDS2506	Homo sapiens	51
8322	None	GDS2506	Homo sapiens	51
8323	DOCK1	GDS2506	Homo sapiens	51
8324	PCIF1	GDS2506	Homo sapiens	51
8325	SPOCD1	GDS2506	Homo sapiens	51
8326	NKX3-1	GDS2506	Homo sapiens	51
8327	UBFD1	GDS2506	Homo sapiens	51
8328	CDK13	GDS2506	Homo sapiens	51
8329	SDHAF2	GDS2506	Homo sapiens	51
8330	SAA4	GDS2506	Homo sapiens	51
8331	LOC105376714	GDS2506	Homo sapiens	51
8332	GPHA2	GDS2506	Homo sapiens	51
8333	ZC3HAV1	GDS2506	Homo sapiens	51
8334	ZNF394	GDS5409	Homo sapiens	8
8335	IL10	GDS5409	Homo sapiens	8
8336	SOX9	GDS5409	Homo sapiens	8
8337	CDY1B	GDS2506	Homo sapiens	51
8338	MEF2D	GDS5409	Homo sapiens	8
8339	INSM1	GDS2506	Homo sapiens	51
8340	SNHG9	GDS5409	Homo sapiens	8
8341	MXD1	GDS5409	Homo sapiens	8
8342	NTRK3	GDS2506	Homo sapiens	51
8343	ATL1	GDS2506	Homo sapiens	51
8344	PPP1R15A	GDS5409	Homo sapiens	8
8345	MPDU1	GDS2506	Homo sapiens	51
8346	ZBTB16	GDS2506	Homo sapiens	51
8347	OBSCN	GDS2506	Homo sapiens	51
8348	TNXB	GDS2506	Homo sapiens	51
8349	None	GDS2506	Homo sapiens	51
8350	SNW1	GDS2506	Homo sapiens	51
8351	GFI1	GDS2506	Homo sapiens	51
8352	ACTR1A	GDS2506	Homo sapiens	51
8353	PNMA6A	GDS2506	Homo sapiens	51
8354	PAFAH1B3	GDS2506	Homo sapiens	51
8355	None	GDS2506	Homo sapiens	51
8356	SRSF7	GDS5409	Homo sapiens	8
8357	RENBP	GDS2506	Homo sapiens	51
8358	FAM205BP	GDS2506	Homo sapiens	51
8359	None	GDS2506	Homo sapiens	51
8360	GLOD4	GDS2506	Homo sapiens	51
8361	FOXK2	GDS2506	Homo sapiens	51
8362	ZNF365	GDS2506	Homo sapiens	51
8363	CHP2	GDS2506	Homo sapiens	51
8364	DYNLT1	GDS2506	Homo sapiens	51
8365	PTPN18	GDS2506	Homo sapiens	51
8366	FOLH1B	GDS2506	Homo sapiens	51
8367	SNAP23	GDS2506	Homo sapiens	51
8368	None	GDS2506	Homo sapiens	51
8369	C16orf72	GDS2506	Homo sapiens	51
8370	BTD	GDS2506	Homo sapiens	51
8371	TAF5L	GDS2506	Homo sapiens	51
8372	SWT1	GDS2506	Homo sapiens	51
8373	OXSM	GDS2506	Homo sapiens	51
8374	KRTAP4-1	GDS2506	Homo sapiens	51
8375	TAS2R45	GDS2506	Homo sapiens	51
8376	FGF5	GDS2506	Homo sapiens	51
8377	MET	GDS2506	Homo sapiens	51
8378	ZNF3	GDS2506	Homo sapiens	51
8379	ZMYND10	GDS2506	Homo sapiens	51
8380	EPB41L4A-AS2	GDS2506	Homo sapiens	51
8381	LOC55338	GDS2506	Homo sapiens	51
8382	SRSF7	GDS2506	Homo sapiens	51
8383	LOC105378589	GDS2506	Homo sapiens	51
8384	TEF	GDS2506	Homo sapiens	51
8385	ACBD3	GDS2506	Homo sapiens	51
8386	CLEC3A	GDS2506	Homo sapiens	51
8387	HNRNPM	GDS2506	Homo sapiens	51
8388	HLA-G	GDS2506	Homo sapiens	51
8389	C12orf75	GDS2506	Homo sapiens	51
8390	None	GDS2506	Homo sapiens	51
8391	CSNK1G3	GDS2506	Homo sapiens	51
8392	PIGN	GDS2506	Homo sapiens	51
8393	HMGCL	GDS2506	Homo sapiens	51
8394	DNAJC7	GDS2506	Homo sapiens	51
8395	BFSP2-AS1	GDS2506	Homo sapiens	51
8396	None	GDS2506	Homo sapiens	51
8397	None	GDS2506	Homo sapiens	51
8398	FAM167A	GDS2506	Homo sapiens	51
8399	None	GDS2506	Homo sapiens	51
8400	HMGCR	GDS2506	Homo sapiens	51
8401	MYO15A	GDS2506	Homo sapiens	51
8402	HS6ST3	GDS2506	Homo sapiens	51
8403	CD4	GDS2506	Homo sapiens	51
8404	CDON	GDS2506	Homo sapiens	51
8405	None	GDS2506	Homo sapiens	51
8406	SYNE1	GDS2506	Homo sapiens	51
8407	CTRB2	GDS2506	Homo sapiens	51
8408	TMSB4Y	GDS2506	Homo sapiens	51
8409	VTN	GDS2506	Homo sapiens	51
8410	ATAT1	GDS2506	Homo sapiens	51
8411	CCDC146	GDS2506	Homo sapiens	51
8412	NTPCR	GDS2506	Homo sapiens	51
8413	SCN4A	GDS2506	Homo sapiens	51
8414	GJD4	GDS2506	Homo sapiens	51
8415	SETD2	GDS2506	Homo sapiens	51
8416	RPL4	GDS2506	Homo sapiens	51
8417	COL6A2	GDS2506	Homo sapiens	51
8418	CCL28	GDS2506	Homo sapiens	51
8419	MBD6	GDS2506	Homo sapiens	51
8420	SLC37A1	GDS2506	Homo sapiens	51
8421	PLSCR1	GDS2506	Homo sapiens	51
8422	ZBED9	GDS2506	Homo sapiens	51
8423	SUPT6H	GDS2506	Homo sapiens	51
8424	C2	GDS2506	Homo sapiens	51
8425	EPS8	GDS2506	Homo sapiens	51
8426	PDLIM2	GDS2506	Homo sapiens	51
8427	LINGO2	GDS2506	Homo sapiens	51
8428	CDKAL1	GDS2506	Homo sapiens	51
8429	None	GDS2506	Homo sapiens	51
8430	LINC01136	GDS2506	Homo sapiens	51
8431	MMD	GDS2506	Homo sapiens	51
8432	DSCR4	GDS2506	Homo sapiens	51
8433	WIZ	GDS2506	Homo sapiens	51
8434	PHLPP2	GDS2506	Homo sapiens	51
8435	GTF2A1	GDS2506	Homo sapiens	51
8436	GFOD1	GDS2506	Homo sapiens	51
8437	PYHIN1	GDS2506	Homo sapiens	51
8438	RNF167	GDS2506	Homo sapiens	51
8439	ENO2	GDS2506	Homo sapiens	51
8440	PGAM5	GDS2506	Homo sapiens	51
8441	STARD9	GDS2506	Homo sapiens	51
8442	ZSCAN30	GDS2506	Homo sapiens	51
8443	TGM4	GDS2506	Homo sapiens	51
8444	SENP5	GDS2506	Homo sapiens	51
8445	DHCR7	GDS5409	Homo sapiens	8
8446	LAMA3	GDS5409	Homo sapiens	8
8447	ALPP	GDS5409	Homo sapiens	8
8448	ERAP2	GDS5409	Homo sapiens	8
8449	GTPBP6	GDS2506	Homo sapiens	51
8450	None	GDS2506	Homo sapiens	51
8451	CCDC53	GDS2506	Homo sapiens	51
8452	DHCR7	GDS5409	Homo sapiens	8
8453	BARX2	GDS2506	Homo sapiens	51
8454	TXNRD1	GDS5409	Homo sapiens	8
8455	HSPA1A	GDS5409	Homo sapiens	8
8456	ACLY	GDS5409	Homo sapiens	8
8457	IGFBP6	GDS5409	Homo sapiens	8
8458	ANK2	GDS2506	Homo sapiens	51
8459	LILRB1	GDS2506	Homo sapiens	51
8460	ZGPAT	GDS2506	Homo sapiens	51
8461	CAPN2	GDS2506	Homo sapiens	51
8462	PTP4A1	GDS2506	Homo sapiens	51
8463	PON2	GDS2777	Homo sapiens	20
8464	SCN2A	GDS2506	Homo sapiens	51
8465	PIAS3	GDS2506	Homo sapiens	51
8466	C10orf2	GDS2506	Homo sapiens	51
8467	LINC00479	GDS2506	Homo sapiens	51
8468	NEURL4	GDS2506	Homo sapiens	51
8469	CHMP6	GDS2506	Homo sapiens	51
8470	ZBTB7A	GDS2506	Homo sapiens	51
8471	PFKFB1	GDS2506	Homo sapiens	51
8472	ADAMTS6	GDS2506	Homo sapiens	51
8473	VEZF1	GDS2506	Homo sapiens	51
8474	INPP4B	GDS2506	Homo sapiens	51
8475	RAP1GAP2	GDS2506	Homo sapiens	51
8476	GTF2H5	GDS2506	Homo sapiens	51
8477	CXCL8	GDS5409	Homo sapiens	8
8478	SERPINA3	GDS5409	Homo sapiens	8
8479	HOXA5	GDS5409	Homo sapiens	8
8480	MARCKSL1	GDS5409	Homo sapiens	8
8481	RAB27B	GDS5409	Homo sapiens	8
8482	DUSP5	GDS5409	Homo sapiens	8
8483	ICA1	GDS5409	Homo sapiens	8
8484	SCO2	GDS5409	Homo sapiens	8
8485	USO1	GDS5409	Homo sapiens	8
8486	KAT14	GDS5409	Homo sapiens	8
8487	PALLD	GDS2777	Homo sapiens	20
8488	ARHGAP29	GDS2777	Homo sapiens	20
8489	CYBRD1	GDS5409	Homo sapiens	8
8490	ALDH3A1	GDS5409	Homo sapiens	8
8491	CDH3	GDS5409	Homo sapiens	8
8492	COL4A1	GDS5409	Homo sapiens	8
8493	CITED4	GDS5409	Homo sapiens	8
8494	TMEM50B	GDS5409	Homo sapiens	8
8495	SGK1	GDS5409	Homo sapiens	8
8496	INIP	GDS5409	Homo sapiens	8
8497	CNIH1	GDS5409	Homo sapiens	8
8498	CYBRD1	GDS5409	Homo sapiens	8
8499	ALDH3B2	GDS5409	Homo sapiens	8
8500	ANG	GDS5409	Homo sapiens	8
8501	IRAK2	GDS5409	Homo sapiens	8
8502	KYNU	GDS5409	Homo sapiens	8
8503	ACAT2	GDS5409	Homo sapiens	8
8504	OAS1	GDS5409	Homo sapiens	8
8505	DNAJB1	GDS5409	Homo sapiens	8
8506	PLIN2	GDS5409	Homo sapiens	8
8507	DKK1	GDS5409	Homo sapiens	8
8508	ETS2	GDS5409	Homo sapiens	8
8509	MCL1	GDS5409	Homo sapiens	8
8510	NOTCH1	GDS5409	Homo sapiens	8
8511	RPL13AP5	GDS2777	Homo sapiens	20
8512	RPS17	GDS2777	Homo sapiens	20
8513	SNORA64	GDS2777	Homo sapiens	20
8514	RPL23A	GDS2777	Homo sapiens	20
8515	PHB2	GDS2777	Homo sapiens	20
8516	RPS6	GDS2777	Homo sapiens	20
8517	SNORD18C	GDS2777	Homo sapiens	20
8518	RPS29	GDS2777	Homo sapiens	20
8519	RPLP0	GDS2777	Homo sapiens	20
8520	RPS23	GDS2777	Homo sapiens	20
8521	RPS21	GDS2777	Homo sapiens	20
8522	SNRPD2	GDS2777	Homo sapiens	20
8523	RPL37	GDS2777	Homo sapiens	20
8524	RPL34	GDS2777	Homo sapiens	20
8525	LOC729603	GDS5409	Homo sapiens	8
8526	SERPINB3	GDS5409	Homo sapiens	8
8527	MIR1248	GDS2777	Homo sapiens	20
8528	ZNF430	GDS5409	Homo sapiens	8
8529	HMGB3	GDS5409	Homo sapiens	8
8530	PDCD7	GDS5409	Homo sapiens	8
8531	TUBA3FP	GDS5409	Homo sapiens	8
8532	HSP90AA1	GDS2777	Homo sapiens	20
8533	SNORD23	GDS2777	Homo sapiens	20
8534	LGALS1	GDS2777	Homo sapiens	20
8535	SHCBP1	GDS5409	Homo sapiens	8
8536	SQLE	GDS5409	Homo sapiens	8
8537	CIRBP	GDS5409	Homo sapiens	8
8538	SLC44A2	GDS5409	Homo sapiens	8
8539	RDH11	GDS5409	Homo sapiens	8
8540	RHPN2	GDS5409	Homo sapiens	8
8541	NSDHL	GDS5409	Homo sapiens	8
8542	LDLR	GDS5409	Homo sapiens	8
8543	IDH1	GDS5409	Homo sapiens	8
8544	RDH10	GDS5409	Homo sapiens	8
8545	PGRMC2	GDS5409	Homo sapiens	8
8546	NCOA7	GDS5409	Homo sapiens	8
8547	CRABP2	GDS5409	Homo sapiens	8
8548	ATF4	GDS5409	Homo sapiens	8
8549	LIMCH1	GDS5409	Homo sapiens	8
8550	PHGDH	GDS5409	Homo sapiens	8
8551	ACLY	GDS5409	Homo sapiens	8
8552	ACKR3	GDS5409	Homo sapiens	8
8553	MYDGF	GDS5409	Homo sapiens	8
8554	FOXC1	GDS5409	Homo sapiens	8
8555	NBPF9	GDS5409	Homo sapiens	8
8556	DKFZP564C152	GDS5409	Homo sapiens	8
8557	DPYSL2	GDS5409	Homo sapiens	8
8558	GLTSCR2	GDS5409	Homo sapiens	8
8559	DHRS3	GDS5409	Homo sapiens	8
8560	ARHGAP21	GDS5409	Homo sapiens	8
8561	KYNU	GDS5409	Homo sapiens	8
8562	FRAT2	GDS5409	Homo sapiens	8
8563	RHOQ	GDS5409	Homo sapiens	8
8564	HES4	GDS5409	Homo sapiens	8
8565	ZFP91	GDS5409	Homo sapiens	8
8566	DUSP3	GDS5409	Homo sapiens	8
8567	PDLIM1	GDS5409	Homo sapiens	8
8568	DNTTIP1	GDS5409	Homo sapiens	8
8569	ELF3	GDS5409	Homo sapiens	8
8570	SUN2	GDS5409	Homo sapiens	8
8571	LRRC1	GDS5409	Homo sapiens	8
8572	RAB5B	GDS5409	Homo sapiens	8
8573	TFF1	GDS5409	Homo sapiens	8
8574	PHLDA1	GDS5409	Homo sapiens	8
8575	NOP56	GDS5409	Homo sapiens	8
8576	VIMP	GDS5409	Homo sapiens	8
8577	FOXA1	GDS5409	Homo sapiens	8
8578	ACSL3	GDS5409	Homo sapiens	8
8579	PFKFB3	GDS5409	Homo sapiens	8
8580	OSTC	GDS5409	Homo sapiens	8
8581	FEN1	GDS5409	Homo sapiens	8
8582	EPPK1	GDS2298	Homo sapiens	18
8583	SFTA3	GDS2298	Homo sapiens	18
8584	LRP10	GDS2298	Homo sapiens	18
8585	CACUL1	GDS2298	Homo sapiens	18
8586	LOXL2	GDS5410	Homo sapiens	8
8587	LOXL2	GDS5410	Homo sapiens	8
8588	ACSS2	GDS5410	Homo sapiens	8
8589	ANKZF1	GDS5410	Homo sapiens	8
8590	ITGA5	GDS5410	Homo sapiens	8
8591	CPA4	GDS5410	Homo sapiens	8
8592	FBXO2	GDS5410	Homo sapiens	8
8593	HSPB3	GDS5410	Homo sapiens	8
8594	BARD1	GDS5418	Homo sapiens	8
8595	TMEM237	GDS5418	Homo sapiens	8
8596	Slc16a4	GDS5201	Mus musculus	6
8597	None	GDS5418	Homo sapiens	8
8598	Plekhs1	GDS5201	Mus musculus	6
8599	DNM3	GDS5418	Homo sapiens	8
8600	Fam162b	GDS5201	Mus musculus	6
8601	ALDH6A1	GDS5418	Homo sapiens	8
8602	REEP1	GDS5418	Homo sapiens	8
8603	Sbspon	GDS5201	Mus musculus	6
8604	STRN	GDS5418	Homo sapiens	8
8605	Capn13	GDS5201	Mus musculus	6
8606	SKIDA1	GDS5418	Homo sapiens	8
8607	ANKRD44	GDS5418	Homo sapiens	8
8608	LOC100505549	GDS5418	Homo sapiens	8
8609	TTC14	GDS5418	Homo sapiens	8
8610	Ms4a1	GDS5201	Mus musculus	6
8611	LHX9	GDS5418	Homo sapiens	8
8612	IFNB1	GDS5409	Homo sapiens	8
8613	C7orf57	GDS5418	Homo sapiens	8
8614	Sel1l3	GDS5201	Mus musculus	6
8615	Sytl4	GDS5201	Mus musculus	6
8616	RN7SK	GDS5409	Homo sapiens	8
8617	CREBRF	GDS5418	Homo sapiens	8
8618	Capn6	GDS5201	Mus musculus	6
8619	Dnah3	GDS5201	Mus musculus	6
8620	ZBTB1	GDS5418	Homo sapiens	8
8621	Adam22	GDS5201	Mus musculus	6
8622	Sptlc3	GDS5201	Mus musculus	6
8623	Cnksr2	GDS5201	Mus musculus	6
8624	Stmnd1	GDS5201	Mus musculus	6
8625	Mum1l1	GDS5201	Mus musculus	6
8626	1700007G11Rik	GDS5201	Mus musculus	6
8627	IFIT1	GDS5409	Homo sapiens	8
8628	Tppp	GDS5201	Mus musculus	6
8629	IFNL3	GDS5409	Homo sapiens	8
8630	RPL10L	GDS5409	Homo sapiens	8
8631	TNF	GDS5409	Homo sapiens	8
8632	TRIM16L	GDS5409	Homo sapiens	8
8633	SNHG10	GDS5409	Homo sapiens	8
8634	U2AF2	GDS2506	Homo sapiens	51
8635	ANO3	GDS5409	Homo sapiens	8
8636	RNU4-1	GDS5409	Homo sapiens	8
8637	FNDC11	GDS5409	Homo sapiens	8
8638	CREB1	GDS2506	Homo sapiens	51
8639	SAMHD1	GDS5409	Homo sapiens	8
8640	PNISR	GDS2506	Homo sapiens	51
8641	EPPK1	GDS2506	Homo sapiens	51
8642	STARD13	GDS5409	Homo sapiens	8
8643	SLC16A14	GDS5409	Homo sapiens	8
8644	ABCA5	GDS5409	Homo sapiens	8
8645	KIAA1024	GDS5409	Homo sapiens	8
8646	TNFSF14	GDS5409	Homo sapiens	8
8647	TMEM191A	GDS5409	Homo sapiens	8
8648	XAF1	GDS5409	Homo sapiens	8
8649	ACTA1	GDS5409	Homo sapiens	8
8650	CLN8	GDS5409	Homo sapiens	8
8651	None	GDS5409	Homo sapiens	8
8652	CATSPERB	GDS5409	Homo sapiens	8
8653	CADM4	GDS5409	Homo sapiens	8
8654	None	GDS5409	Homo sapiens	8
8655	EGFR	GDS5409	Homo sapiens	8
8656	PITPNM3	GDS2506	Homo sapiens	51
8657	NPS	GDS5409	Homo sapiens	8
8658	PRSS21	GDS5409	Homo sapiens	8
8659	TMEM218	GDS5409	Homo sapiens	8
8660	None	GDS5409	Homo sapiens	8
8661	PDZD3	GDS5409	Homo sapiens	8
8662	None	GDS5409	Homo sapiens	8
8663	NCF4	GDS2506	Homo sapiens	51
8664	SLC9A9	GDS5409	Homo sapiens	8
8665	TTLL9	GDS5409	Homo sapiens	8
8666	HCG4B	GDS5409	Homo sapiens	8
8667	YES1	GDS2506	Homo sapiens	51
8668	BOD1L1	GDS2506	Homo sapiens	51
8669	RASSF6	GDS5409	Homo sapiens	8
8670	SNX18	GDS5409	Homo sapiens	8
8671	MUC12	GDS5409	Homo sapiens	8
8672	LRRC32	GDS5409	Homo sapiens	8
8673	MIR514A2	GDS5409	Homo sapiens	8
8674	PRB3	GDS5409	Homo sapiens	8
8675	HIST1H2AI	GDS5409	Homo sapiens	8
8676	ACSL5	GDS5409	Homo sapiens	8
8677	TENM1	GDS5409	Homo sapiens	8
8678	AK5	GDS5409	Homo sapiens	8
8679	MIR199A2	GDS5409	Homo sapiens	8
8680	WDR31	GDS5409	Homo sapiens	8
8681	SORCS3	GDS5409	Homo sapiens	8
8682	RBMXL2	GDS5409	Homo sapiens	8
8683	STPG1	GDS2506	Homo sapiens	51
8684	PRTG	GDS5409	Homo sapiens	8
8685	RNF186	GDS5409	Homo sapiens	8
8686	FGF11	GDS5409	Homo sapiens	8
8687	FAM71E2	GDS5409	Homo sapiens	8
8688	MT4	GDS5409	Homo sapiens	8
8689	LYZ	GDS5409	Homo sapiens	8
8690	C2orf81	GDS5409	Homo sapiens	8
8691	GNG2	GDS5409	Homo sapiens	8
8692	RAB40A	GDS5409	Homo sapiens	8
8693	CYP2D6	GDS5409	Homo sapiens	8
8694	PIN1P1	GDS5409	Homo sapiens	8
8695	RARRES1	GDS5409	Homo sapiens	8
8696	SGTB	GDS5409	Homo sapiens	8
8697	RGPD3	GDS5409	Homo sapiens	8
8698	NAT16	GDS5409	Homo sapiens	8
8699	None	GDS2506	Homo sapiens	51
8700	ABL2	GDS5409	Homo sapiens	8
8701	UGT1A8	GDS5409	Homo sapiens	8
8702	MIR211	GDS5409	Homo sapiens	8
8703	FAM151B	GDS5409	Homo sapiens	8
8704	AKR1C6P	GDS5409	Homo sapiens	8
8705	MYH7B	GDS5409	Homo sapiens	8
8706	DAW1	GDS5409	Homo sapiens	8
8707	MPHOSPH10	GDS5409	Homo sapiens	8
8708	HBS1L	GDS5409	Homo sapiens	8
8709	DEFB126	GDS2506	Homo sapiens	51
8710	SORL1	GDS2506	Homo sapiens	51
8711	CRISP2	GDS2506	Homo sapiens	51
8712	SMAD3	GDS2506	Homo sapiens	51
8713	CLCC1	GDS2506	Homo sapiens	51
8714	AIM1L	GDS2506	Homo sapiens	51
8715	ENY2	GDS2506	Homo sapiens	51
8716	ELOVL1	GDS2506	Homo sapiens	51
8717	THUMPD3	GDS2506	Homo sapiens	51
8718	GRIK1	GDS2506	Homo sapiens	51
8719	OPCML-IT1	GDS2506	Homo sapiens	51
8720	UBE2G2	GDS2506	Homo sapiens	51
8721	F11	GDS2506	Homo sapiens	51
8722	None	GDS2506	Homo sapiens	51
8723	PDXDC1	GDS2506	Homo sapiens	51
8724	ATP9B	GDS2506	Homo sapiens	51
8725	MX1	GDS2506	Homo sapiens	51
8726	LOC102546294	GDS2506	Homo sapiens	51
8727	None	GDS2506	Homo sapiens	51
8728	CCSAP	GDS2506	Homo sapiens	51
8729	None	GDS2506	Homo sapiens	51
8730	TIGD6	GDS2506	Homo sapiens	51
8731	DEPDC1	GDS2506	Homo sapiens	51
8732	REG1B	GDS2506	Homo sapiens	51
8733	ANAPC7	GDS2506	Homo sapiens	51
8734	DMRTA2	GDS2506	Homo sapiens	51
8735	APOL6	GDS2506	Homo sapiens	51
