SI#	GENE	GDS	ORGANISM	SAMPLE
318	PRKCB	GDS5247	Homo sapiens	6
319	IL4R	GDS5498	Homo sapiens	7
320	NKAIN2	GDS5247	Homo sapiens	6
321	QIQN5815	GDS5040	Homo sapiens	6
322	ZNF286A	GDS5498	Homo sapiens	7
323	CNTNAP3B	GDS5247	Homo sapiens	6
324	FAT2	GDS3627	Homo sapiens	58
325	SGCE	GDS5247	Homo sapiens	6
326	RASGRF2	GDS5247	Homo sapiens	6
327	DSC3	GDS3627	Homo sapiens	58
328	DESI2	GDS5498	Homo sapiens	7
329	ZNF618	GDS5498	Homo sapiens	7
330	STAT4	GDS5498	Homo sapiens	7
331	CD177	GDS5040	Homo sapiens	6
332	RAD51L3-RFFL	GDS5040	Homo sapiens	6
333	LCP1	GDS5040	Homo sapiens	6
334	MT1L	GDS5498	Homo sapiens	7
335	GEMIN5	GDS5040	Homo sapiens	6
336	WDFY1	GDS5040	Homo sapiens	6
337	MPZL3	GDS5040	Homo sapiens	6
338	CGN	GDS3627	Homo sapiens	58
339	AAK1	GDS5040	Homo sapiens	6
340	PTRF	GDS5040	Homo sapiens	6
341	TTPAL	GDS5040	Homo sapiens	6
342	None	GDS3627	Homo sapiens	58
343	SLC16A1	GDS3627	Homo sapiens	58
344	KCNK5	GDS3627	Homo sapiens	58
345	CALB2	GDS5040	Homo sapiens	6
346	SLC6A10PB	GDS3627	Homo sapiens	58
347	ARHGAP18	GDS5040	Homo sapiens	6
348	NT5E	GDS5247	Homo sapiens	6
349	C1QTNF6	GDS5040	Homo sapiens	6
350	KCTD1	GDS3627	Homo sapiens	58
351	SERPINB7	GDS5040	Homo sapiens	6
352	ACAT1	GDS5498	Homo sapiens	7
353	SLC6A14	GDS5040	Homo sapiens	6
354	GRHL3	GDS5040	Homo sapiens	6
355	MARK1	GDS3627	Homo sapiens	58
356	GOT2	GDS5498	Homo sapiens	7
357	ERLIN2	GDS5040	Homo sapiens	6
358	TMEM40	GDS3627	Homo sapiens	58
359	SLC4A4	GDS5040	Homo sapiens	6
360	PLSCR4	GDS5040	Homo sapiens	6
361	SMPDL3B	GDS3627	Homo sapiens	58
362	BAMBI	GDS5498	Homo sapiens	7
363	ATP11A	GDS3627	Homo sapiens	58
364	None	GDS3627	Homo sapiens	58
365	AOX1	GDS5040	Homo sapiens	6
366	PCCB	GDS5498	Homo sapiens	7
367	LRP1B	GDS5247	Homo sapiens	6
368	TP63	GDS3627	Homo sapiens	58
369	FBN2	GDS5498	Homo sapiens	7
370	METAP1	GDS5498	Homo sapiens	7
371	CNTNAP3B	GDS5247	Homo sapiens	6
372	CNTNAP3B	GDS5247	Homo sapiens	6
373	FADS3	GDS5498	Homo sapiens	7
374	FST	GDS3627	Homo sapiens	58
375	MAPK6	GDS5498	Homo sapiens	7
376	AVL9	GDS5498	Homo sapiens	7
377	FGF1	GDS5040	Homo sapiens	6
378	CLDN1	GDS5498	Homo sapiens	7
379	ZNF41	GDS5498	Homo sapiens	7
380	GJB5	GDS3627	Homo sapiens	58
381	TMEFF1	GDS5498	Homo sapiens	7
382	RNF38	GDS5040	Homo sapiens	6
383	HIPK3	GDS5040	Homo sapiens	6
384	PPP2R1B	GDS5040	Homo sapiens	6
385	NREP	GDS5040	Homo sapiens	6
